 initial guess
   0.81000E-10 -0.10000E-01   2000.0    
   1700.0     0.30299E+14 0.29799E+14  1.6488    
   1750.0     0.30446E+14 0.30470E+14 0.79619E-01
   1800.0     0.30589E+14 0.31155E+14  1.8496    
   1850.0     0.30729E+14 0.31852E+14  3.6557    
   1900.0     0.30866E+14 0.32562E+14  5.4961    
   1950.0     0.31000E+14 0.33284E+14  7.3691    
   2000.0     0.31131E+14 0.34018E+14  9.2734    
   2050.0     0.31260E+14 0.34762E+14  11.204    
   2100.0     0.31385E+14 0.35518E+14  13.167    
   2150.0     0.31509E+14 0.36283E+14  15.152    
   2200.0     0.31630E+14 0.37059E+14  17.163    
   2250.0     0.31748E+14 0.37844E+14  19.201    
   2300.0     0.31865E+14 0.38639E+14  21.257    
   2350.0     0.31979E+14 0.39443E+14  23.339    
   2400.0     0.32092E+14 0.40255E+14  25.438    
   2450.0     0.32202E+14 0.41077E+14  27.561    
   2500.0     0.32311E+14 0.41908E+14  29.700    
 results for iteration           3
 chi  0.10928E-02lamda  0.10000E-05
 params
   0.41674E+13  0.25958      -88.115    
   0.25097E+37  0.25958      -175.08    
   400.00     0.23807E+14 0.24602E+14  3.3400    
   450.00     0.24279E+14 0.24753E+14  1.9507    
   500.00     0.24709E+14 0.24946E+14 0.95776    
   550.00     0.25105E+14 0.25164E+14 0.23549    
   600.00     0.25471E+14 0.25398E+14 0.28818    
   650.00     0.25813E+14 0.25640E+14 0.67204    
   700.00     0.26134E+14 0.25886E+14 0.95027    
   750.00     0.26436E+14 0.26133E+14  1.1454    
   800.00     0.26722E+14 0.26380E+14  1.2789    
   850.00     0.26994E+14 0.26626E+14  1.3647    
   900.00     0.27252E+14 0.26868E+14  1.4075    
   950.00     0.27499E+14 0.27108E+14  1.4214    
   1000.0     0.27735E+14 0.27344E+14  1.4085    
   1050.0     0.27961E+14 0.27577E+14  1.3736    
   1100.0     0.28179E+14 0.27806E+14  1.3248    
   1150.0     0.28388E+14 0.28031E+14  1.2590    
   1200.0     0.28590E+14 0.28252E+14  1.1835    
   1250.0     0.28786E+14 0.28469E+14  1.1017    
   1300.0     0.28974E+14 0.28682E+14  1.0068    
   1350.0     0.29157E+14 0.28892E+14 0.90872    
   1400.0     0.29335E+14 0.29098E+14 0.80732    
   1450.0     0.29507E+14 0.29301E+14 0.69890    
   1500.0     0.29674E+14 0.29500E+14 0.58655    
   1550.0     0.29836E+14 0.29696E+14 0.46996    
   1600.0     0.29995E+14 0.29888E+14 0.35546    
   1650.0     0.30149E+14 0.30078E+14 0.23604    
   1700.0     0.30299E+14 0.30264E+14 0.11470    
   1750.0     0.30446E+14 0.30448E+14 0.56039E-02
   1800.0     0.30589E+14 0.30628E+14 0.12849    
   1850.0     0.30729E+14 0.30806E+14 0.25100    
   1900.0     0.30866E+14 0.30981E+14 0.37344    
   1950.0     0.31000E+14 0.31154E+14 0.49613    
   2000.0     0.31131E+14 0.31324E+14 0.61935    
   2050.0     0.31260E+14 0.31491E+14 0.74015    
   2100.0     0.31385E+14 0.31657E+14 0.86525    
   2150.0     0.31509E+14 0.31819E+14 0.98525    
   2200.0     0.31630E+14 0.31980E+14  1.1068    
   2250.0     0.31748E+14 0.32139E+14  1.2302    
   2300.0     0.31865E+14 0.32295E+14  1.3493    
   2350.0     0.31979E+14 0.32449E+14  1.4706    
   2400.0     0.32092E+14 0.32602E+14  1.5880    
